userId,itemId
0,0
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,13
0,14
0,15
0,16
0,17
0,18
0,19
0,20
0,21
0,22
0,23
0,24
0,25
0,26
0,27
0,28
0,29
0,30
0,31
0,32
0,33
0,34
0,35
1,36
1,37
1,38
1,39
1,40
1,41
1,42
1,43
1,44
1,45
1,46
1,47
1,48
1,49
1,50
1,51
1,52
1,53
1,54
1,55
1,56
2,26
2,57
2,51
2,52
2,58
2,59
2,60
2,61
2,62
2,63
2,64
2,65
2,66
2,67
2,68
2,69
2,70
2,71
2,72
2,73
2,74
2,75
2,76
2,77
2,78
2,79
2,80
2,81
2,82
2,83
2,84
2,85
2,86
2,87
2,88
2,89
2,90
2,91
2,92
2,93
2,94
2,95
2,96
2,97
2,98
2,99
2,100
2,101
2,102
2,103
2,104
2,105
2,106
2,107
2,108
2,109
2,110
2,111
2,112
2,113
2,114
2,115
2,116
2,117
3,118
3,83
3,119
3,120
3,121
3,122
3,123
3,124
3,125
3,126
3,127
3,128
3,129
3,130
3,131
3,132
3,133
3,134
3,135
3,136
3,137
3,138
3,139
3,140
3,141
3,142
3,143
3,144
3,145
3,146
3,147
3,148
3,149
3,150
3,151
3,152
3,153
3,154
3,155
3,156
3,157
3,158
3,159
4,160
4,161
4,162
4,163
4,164
4,165
4,166
4,167
4,168
4,169
4,170
4,171
4,172
4,173
4,174
4,175
4,176
4,177
4,178
4,179
4,180
4,181
4,182
4,183
4,184
4,185
4,186
4,187
4,188
4,189
4,190
4,191
4,192
4,193
4,194
4,195
4,196
4,197
4,198
4,199
4,200
4,201
4,202
4,203
4,204
4,205
4,206
4,207
4,208
4,209
4,210
4,211
4,212
4,213
4,33
5,171
5,214
5,198
5,201
5,210
5,215
5,216
5,217
5,218
5,219
5,220
5,221
5,222
5,223
5,224
5,225
5,226
5,227
5,228
5,229
5,230
5,231
5,232
5,233
5,234
5,235
5,236
5,237
5,238
5,239
5,240
5,241
5,242
5,243
5,244
5,245
5,246
5,247
5,248
5,249
5,250
5,251
5,252
5,253
5,254
5,255
5,256
5,257
5,258
5,259
5,260
5,261
5,262
5,263
5,264
5,265
5,266
5,267
5,268
5,269
5,270
5,271
5,272
5,273
5,274
5,275
5,276
5,277
5,278
5,279
5,280
5,281
5,282
5,283
5,284
5,285
5,286
5,287
5,288
5,289
5,290
5,291
5,292
5,293
5,294
5,295
5,296
5,297
5,298
5,29
5,44
5,56
5,68
5,112
5,114
5,122
5,141
5,157
6,299
6,300
6,301
6,302
6,303
6,304
6,305
6,306
6,307
6,308
6,309
6,310
6,311
6,312
6,313
6,314
6,315
7,200
7,201
7,1
7,216
7,235
7,316
7,267
7,317
7,318
7,319
7,320
7,321
7,322
7,323
7,324
7,325
7,326
7,327
7,328
7,329
7,330
7,331
7,332
7,333
7,334
7,335
7,336
7,337
7,338
7,339
7,340
7,341
7,342
7,343
7,344
7,345
7,346
7,347
7,348
7,349
7,350
7,351
7,352
7,353
7,354
7,355
7,356
7,357
7,358
7,359
7,360
7,361
7,362
7,363
7,364
7,365
7,366
7,367
7,368
7,369
7,370
7,371
7,372
7,373
7,374
7,375
7,376
7,377
7,378
7,379
7,380
7,381
7,382
7,383
7,384
7,385
7,386
7,387
7,388
7,389
7,45
7,48
7,390
7,391
8,9
8,392
8,393
8,394
8,395
8,396
8,397
8,398
8,399
8,400
8,401
8,402
8,403
8,404
8,405
8,406
8,407
8,408
8,409
8,410
8,411
8,412
8,413
8,414
8,415
8,416
8,417
8,418
8,419
8,420
8,421
8,422
8,423
8,424
8,425
8,98
9,426
9,283
9,427
9,25
9,415
9,417
9,428
9,429
9,430
9,431
9,432
9,433
9,434
9,435
9,436
9,437
9,438
9,439
9,440
9,441
9,442
9,443
9,444
9,445
9,446
9,447
9,448
9,449
9,450
9,451
9,452
9,453
9,454
9,455
9,456
9,457
9,458
9,459
9,460
9,461
9,462
9,463
9,464
9,465
9,466
9,467
9,468
9,469
9,470
9,471
9,472
9,473
9,474
9,475
9,476
9,477
10,190
10,3
10,4
10,16
10,478
10,479
10,480
10,481
10,482
10,483
10,484
10,485
11,486
11,200
11,487
11,210
11,250
11,488
11,258
11,278
11,280
11,298
11,323
11,334
11,361
11,489
11,490
11,491
11,492
11,493
11,494
11,495
11,496
11,497
11,498
11,499
11,500
11,501
